$	84942
^	84942
^a	7102
^aa	1213
^aab	25
^aac	18
^aad	149
^aae	8
^aag	46
^aah	23
^aai	16
^aaj	44
^aak	106
^aal	38
^aam	52
^aan	123
^aap	90
^aar	67
^aas	110
^aat	119
^aau	3
^aav	60
^aaw	14
^aay	95
^aaz	7
^ab	324
^ab$	5
^aba	9
^abc	6
^abd	19
^abe	5
^abh	255
^abi	3
^abl	4
^abn	3
^abo	6
^abr	4
^abu	5
^ac	166
^aca	8
^acc	40
^ace	6
^ach	54
^aci	11
^acp	3
^acr	3
^act	37
^ad	515
^ada	56
^adb	12
^add	15
^ade	5
^adh	304
^adi	20
^adl	7
^adm	14
^adn	5
^ado	7
^adr	14
^ads	4
^adu	10
^adv	31
^adw	4
^ady	4
^ae	14
^ae$	3
^aer	7
^af	57
^afc	3
^aff	5
^afg	9
^afl	3
^afr	9
^afs	9
^aft	6
^afw	4
^ag	208
^ag$	3
^aga	56
^age	26
^agh	5
^agl	5
^agn	33
^agr	62
^agu	4
^agy	10
^ah	75
^aha	16
^ahi	20
^ahm	15
^aho	4
^ahs	7
^ahu	5
^ahy	3
^ai	143
^ai$	3
^aia	3
^aib	3
^aic	4
^aid	5
^ail	6
^ain	4
^air	62
^ais	33
^ait	15
^aj	97
^aja	47
^aje	3
^aji	8
^ajm	12
^ajn	8
^ajo	4
^ajr	4
^aju	6
^ak	185
^aka	48
^akb	8
^ake	20
^akh	31
^akk	6
^akl	5
^ako	4
^akp	3
^akr	6
^aks	49
^aku	3
^al	332
^ala	53
^alb	33
^alc	6
^ale	15
^alf	10
^alg	10
^alh	4
^ali	44
^alj	4
^alk	4
^all	31
^alm	12
^aln	3
^alo	14
^alp	39
^als	8
^alt	13
^alu	21
^alv	6
^am	283
^am$	3
^ama	71
^amb	16
^ame	30
^ami	32
^amj	3
^aml	17
^amm	20
^amn	5
^amo	10
^amr	57
^amu	15
^an	1206
^an$	4
^ana	113
^anb	3
^anc	14
^and	154
^ane	20
^ang	110
^ani	88
^anj	48
^ank	24
^anm	6
^ann	20
^ano	24
^anp	5
^ans	42
^ant	189
^anu	307
^anv	8
^anw	3
^any	21
^ao	3
^ap	382
^apa	78
^apb	3
^apc	6
^apd	3
^ape	18
^aph	4
^api	8
^apm	14
^apn	48
^apo	6
^app	51
^apr	99
^aps	12
^apt	3
^apu	13
^apv	13
^ar	343
^ara	45
^arb	3
^arc	37
^ard	23
^are	21
^arg	5
^arh	8
^ari	22
^ark	9
^arm	22
^arn	5
^aro	11
^arp	3
^ars	17
^art	70
^aru	18
^arv	6
^ary	14
^as	606
^as$	3
^asa	169
^asb	5
^asd	3
^ase	7
^ash	169
^asi	29
^ask	5
^asl	4
^asm	6
^asp	32
^asr	6
^ass	52
^ast	62
^asu	27
^asv	5
^asw	21
^at	250
^at$	4
^ata	9
^ate	3
^atf	3
^ath	37
^ati	63
^atl	13
^atm	35
^ato	5
^atp	3
^atr	15
^att	17
^atu	9
^aty	32
^au	188
^au$	4
^aud	27
^aug	4
^auj	9
^aul	3
^aun	7
^aup	9
^aur	34
^aus	49
^aut	41
^av	313
^ava	121
^avd	17
^ave	26
^avg	3
^avi	54
^avm	5
^avn	5
^avo	3
^avr	16
^avs	28
^avt	7
^avv	3
^avy	18
^aw	44
^awa	43
^ax	14
^axe	10
^axi	3
^ay	113
^aya	32
^aye	4
^ayo	25
^ayu	30
^ayy	19
^az	28
^aza	16
^azi	5
^azm	3
^b	6475
^b$	3
^ba	2558
^ba$	5
^baa	120
^bab	47
^bac	152
^bad	287
^bae	4
^bag	86
^bah	219
^bai	96
^baj	98
^bak	86
^bal	231
^bam	23
^ban	434
^bao	3
^bap	19
^bar	278
^bas	132
^bat	169
^bau	30
^bav	13
^baw	3
^bay	16
^baz	7
^bc	9
^bcc	4
^bcm	3
^be	518
^be$	3
^bea	30
^beb	8
^bec	38
^bed	35
^bee	41
^bef	6
^beg	23
^beh	28
^bei	6
^bej	9
^bek	19
^bel	66
^bem	7
^ben	53
^bep	7
^ber	39
^bes	30
^bet	60
^bey	6
^bf	3
^bf$	3
^bh	1509
^bha	913
^bhe	112
^bhi	102
^bho	146
^bhp	3
^bhr	32
^bhu	197
^bi	445
^bib	3
^bic	41
^bid	17
^big	29
^bih	8
^bij	32
^bik	52
^bil	32
^bim	30
^bin	28
^bio	36
^bip	4
^bir	38
^bis	42
^bit	47
^bj	4
^bjp	3
^bl	105
^bla	28
^ble	13
^bli	4
^blo	41
^blu	19
^bm	6
^bm$	3
^bms	3
^bn	26
^bn$	3
^bna	23
^bo	448
^bo$	3
^boa	16
^bob	5
^bod	33
^boe	5
^bog	9
^boh	4
^boi	6
^bok	9
^bol	91
^bom	16
^bon	36
^boo	43
^bop	3
^bor	49
^bos	18
^bot	30
^bou	26
^bow	11
^box	15
^boy	15
^bp	9
^bpa	3
^bpl	3
^bpm	3
^br	328
